id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45498,"Quite & Chic, fully equipped, 2Bd, pool & terrace",75891,Sergio,,Palermo,-34.58182,-58.44144,Entire home/apt,7875,2,115,2020-01-27,1.25,5,128
48089,Recoleta Classic French-Style 2BDR,192475,Chris,,Recoleta,-34.58705,-58.38791,Entire home/apt,4811,7,101,2019-09-01,0.87,1,365
48527,French style apartment in Recoleta,221661,Ricardo,,Recoleta,-34.58555,-58.39468,Entire home/apt,12864,3,1,2014-01-07,0.01,2,365
48535,Elegant apartment in downtown Bs.As,221044,Florencia,,Retiro,-34.5962,-58.37529,Entire home/apt,4810,90,0,,,1,364
48678,Grate & Luxury apartment Recoleta,221661,Ricardo,,Recoleta,-34.58507,-58.395,Private room,12864,3,1,2010-12-30,0.01,2,365
50301,Complete room in Recoleta,230443,Manuel,,Recoleta,-34.58766,-58.40861,Private room,5291,30,0,,,2,365
50778,Gorgeous 2bdrm in Awesome Recoleta,233651,Cameron,,Recoleta,-34.58978,-58.40011,Entire home/apt,2309,5,96,2019-11-19,0.79,6,179
52511,San Telmo Apartment (Buenos Aires),242939,Gri,,San Nicolas,-34.60767,-58.37257,Entire home/apt,6737,4,0,,,1,365
53097,Duplex-Loft in  Historic Quartier of Buenos Aires,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,3850,2,36,2018-12-13,0.32,7,361
53905,Trendy studio in Villa Crespo!,252182,Victoria,,Villa Crespo,-34.59969,-58.4399,Entire home/apt,2886,3,78,2019-01-07,0.60,1,364
61282,Loft with Balcony in Belgrano,296398,Alejandro,,Nuñez,-34.55396,-58.46753,Entire home/apt,3367,3,141,2020-02-26,1.24,1,260
65446,Luxury Premier Loft with Breathtaking Views  ★★★★★,319901,Ralf,,Palermo,-34.58102,-58.42349,Entire home/apt,8659,3,160,2020-01-21,1.45,27,255
65513,Comfortable apartment for 5 in BsAs,320183,Hortensia,,Retiro,-34.59849,-58.3774,Entire home/apt,4811,30,5,2017-10-20,0.11,4,362
65519,Great Apartment in Las Cañitas (Palermo) for 5,320183,Hortensia,,Palermo,-34.56958,-58.42978,Entire home/apt,7696,14,13,2020-02-06,0.14,4,365
66939,"★ Instaworthy Views, 20th Floor ★ Gym",319901,Ralf,,Palermo,-34.58267,-58.42497,Entire home/apt,4329,3,263,2020-02-27,2.35,27,348
66940,Pool Party studio +  Views over the Pool  ❤,319901,Ralf,,Palermo,-34.58272,-58.42382,Entire home/apt,3848,3,223,2021-02-20,1.95,27,365
68173,"Best Area in Palermo, Luxury Studio",4405670,Andy,,Palermo,-34.57894,-58.42858,Entire home/apt,5292,2,78,2019-03-03,0.70,9,364
68489,Best Block in Palermo Hollywood,4405670,Andy,,Palermo,-34.58045,-58.43208,Entire home/apt,2983,3,142,2019-11-05,1.30,9,300
68800,Recoleta great penthouse  w/private terrace &grill,221405,Ximena,,Recoleta,-34.59278,-58.3876,Private room,37133,1,76,2020-01-03,0.97,2,270
68868,"Luxury Soho Sky Loft , Dream View Apartment ★★★★★",319901,Ralf,,Palermo,-34.58165,-58.42527,Entire home/apt,8178,3,250,2020-03-11,2.28,27,207
69063,"Beautiful, great location, quiet, Nespresso.",344599,Danilo,,Recoleta,-34.5956,-58.39573,Entire home/apt,1649,1,207,2019-11-27,1.90,2,343
69187,Historic French Style Villa,344456,Daniela,,Monserrat,-34.60842,-58.37316,Entire home/apt,33685,7,0,,,6,363
69196,Recoleta French Style apartment,344456,Daniela,,San Nicolas,-34.60722,-58.37215,Entire home/apt,6734,7,0,,,6,364
69880,"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",315089,Max,,Palermo,-34.57797,-58.43821,Entire home/apt,11545,5,25,2017-02-28,0.21,7,365
70082,High category appartment Belgrano,353823,Maria De Los Angeles,,Palermo,-34.56926,-58.4437,Entire home/apt,2886,20,39,2020-09-30,0.45,1,364
70804,Six luminous suites at Soho,360083,Priscila,,Palermo,-34.59034,-58.43375,Private room,3848,2,0,,,2,360
71801,Studio in Recoleta most secure area,368954,Carlos,,Recoleta,-34.59514,-58.39914,Entire home/apt,4811,3,92,2019-08-31,0.80,1,364
72204,Beautiful house in Palermo SOHO,373629,Daniel,,Palermo,-34.5902,-58.42993,Entire home/apt,18278,1,23,2021-06-06,0.66,15,306
72928,"Palermo Soho ""Ayres del Botanico"" Tower",344456,Daniela,,Palermo,-34.58523,-58.42143,Entire home/apt,7696,7,0,,,6,365
72935,Palermo Cervino Boulevard Apartment,344456,Daniela,,Palermo,-34.57824,-58.4111,Entire home/apt,4811,7,2,2011-03-14,0.02,6,365
72958,Palermo Soho Home with a View,344456,Daniela,,Palermo,-34.58267,-58.4261,Entire home/apt,5292,30,0,,,6,364
73180,Palermo Apt - Las Cañitas area,161327,Mariano,,Palermo,-34.57213,-58.43294,Entire home/apt,1347,14,30,2019-04-20,0.26,12,177
73680,Nice Studio in Palermo Soho,385499,Lujan,,Palermo,-34.59518,-58.41949,Entire home/apt,3848,3,27,2014-12-15,0.25,1,365
74383,Penthouse 2BR with River&Sunrise views,319901,Ralf,,Palermo,-34.58706,-58.43417,Entire home/apt,7215,3,81,2021-07-10,3.18,27,230
75094,Amazing apartment in Recoleta,161327,Mariano,,Recoleta,-34.58918,-58.39518,Entire home/apt,1415,14,117,2019-06-02,0.96,12,301
75492,Studio Loft in Palermo Soho #1,400828,Jony,,Palermo,-34.589,-58.42024,Entire home/apt,1760,2,326,2020-07-11,3.16,3,362
75526,GUAPO / Amazing Large Studio* with great views.🎈,319901,Ralf,,Palermo,-34.58261,-58.42345,Entire home/apt,3175,3,104,2020-02-25,1.13,27,337
